gene_id,regulation,tissue_id
3420,AuG,1891
223117,AuG,955
120114,AuG,2240
53616,AuG,1893
10768,AuG,2037
2534,AuG,1891
165545,AuG,955
158866,AuG,955
388228,AuG,2037
5129,AuG,1893
114804,AuG,1891
51284,AuG,2240
55914,AuG,1896
5275,AuG,955
1910,AuG,1896
427,AuG,2240
26469,AuG,2037
23424,AuG,2240
54518,AuG,1896
79957,AuG,1896
2903,AuG,2037
2173,AuG,1893
5891,AuG,955
29970,AuG,2037
55176,AuG,1893
23142,AuG,1896
90293,AuG,955
55530,AuG,955
9758,AuG,955
51177,AuG,2037
163,AuG,2240
91156,AuG,955
348,AuG,1893
2743,AuG,1893
132299,AuG,955
9348,AuG,2037
10213,AuG,1891
3760,AuG,1893
6990,AuG,1896
10391,AuG,2037
8715,AuG,955
25932,AuG,2240
23209,AuG,955
2261,AuG,955
10193,AuG,1891
2892,AuG,1891
138151,AuG,2240
340481,AuG,2037
55212,AuG,2037
60560,AuG,1896
55228,AuG,1891
4697,AuG,1896
8867,AuG,1891
10617,AuG,1896
10382,AuG,2240
5274,AuG,1893
79896,AuG,955
56884,AuG,1896
10826,AuG,1891
23500,AuG,1896
528,AuG,1891
9378,AuG,2240
257407,AuG,1891
83930,AuG,1891
4642,AuG,2240
9429,AuG,1891
57502,AuG,1891
341567,AuG,1891
3631,AuG,1896
3094,AuG,1891
282809,AuG,1896
253959,AuG,1891
6810,AuG,2240
7942,AuG,2240
5526,AuG,1896
345895,AuG,955
283209,AuG,955
2786,AuG,1896
260425,AuG,955
285704,AuG,955
3638,AuG,1891
23621,AuG,955
22927,AuG,1891
253260,AuG,1891
8658,AuG,2240
79929,AuG,955
479,AuG,955
4916,AuG,2037
5033,AuG,2240
162239,AuG,1896
91409,AuG,955
3726,AuG,2240
124540,AuG,2037
4345,AuG,1893
1072,AuG,1891
23544,AuG,1893
54329,AuG,1891
4547,AuG,955
8704,AuG,955
23148,AuG,1896
83723,AuG,1891
203447,AuG,2037
3689,AuG,2240
7342,AuG,2037
23576,AuG,1893
147906,AuG,955
10767,AuG,955
57509,AuG,2037
10110,AuG,2240
5879,AuG,1891
51322,AuG,1893
8936,AuG,2037
10971,AuG,2240
2563,AuG,955
51808,AuG,1896
1540,AuG,2240
357,AuG,955
2893,AuG,1896
6330,AuG,1891
64748,AuG,2037
7546,AuG,1891
5354,AuG,955
9892,AuG,2240
2119,AuG,1891
4684,AuG,1893
84699,AuG,955
9364,AuG,2240
192669,AuG,1891
65125,AuG,1893
348235,AuG,1896
23326,AuG,2037
163589,AuG,955
112703,AuG,955
221938,AuG,2240
147965,AuG,2037
57571,AuG,1891
9498,AuG,2037
79622,AuG,1891
168391,AuG,955
2246,AuG,1893
84062,AuG,1896
10383,AuG,955
9796,AuG,2037
51619,AuG,955
22902,AuG,2037
5365,AuG,955
80213,AuG,1891
55294,AuG,1896
50640,AuG,955
4651,AuG,1891
11149,AuG,2240
23089,AuG,1893
9846,AuG,1891
9771,AuG,1893
56751,AuG,1891
7102,AuG,2037
23406,AuG,1891
3269,AuG,955
9890,AuG,955
7170,AuG,1891
120114,AuG,2037
51310,AuG,1896
64781,AuG,2037
3422,AuG,1891
23333,AuG,1893
1837,AuG,2037
6263,AuG,2240
6853,AuG,1893
6663,AuG,1891
5306,AuG,1891
150677,AuG,955
93621,AuG,1896
64137,AuG,1893
7018,AuG,1891
9586,AuG,955
1318,AuG,1896
53373,AuG,2037
116228,AuG,1896
284370,AuG,2037
4336,AuG,2037
8237,AuG,1893
23231,AuG,2037
29896,AuG,2240
25793,AuG,2240
163081,AuG,955
1610,AuG,2240
478,AuG,2037
146330,AuG,955
2983,AuG,1896
201161,AuG,1891
147685,AuG,955
114088,AuG,2240
2354,AuG,2240
29993,AuG,2037
57524,AuG,2240
23462,AuG,2240
90987,AuG,2037
150209,AuG,1896
9181,AuG,1891
342918,AuG,955
3399,AuG,2240
5310,AuG,2037
162494,AuG,955
84217,AuG,955
3092,AuG,1893
65983,AuG,1893
56978,AuG,2037
8671,AuG,2240
80036,AuG,2240
51593,AuG,2037
206358,AuG,1891
9229,AuG,1891
8774,AuG,1891
51440,AuG,1893
7143,AuG,1896
64599,AuG,2037
388135,AuG,1896
5764,AuG,1891
322,AuG,955
83873,AuG,955
793,AuG,955
1121,AuG,1891
57463,AuG,1891
23500,AuG,1891
389668,AuG,955
1358,AuG,955
