gene_id,regulation,tissue_id
10281,AeG,1017
5168,AeG,2240
51335,AeG,1016
9722,AeG,1016
28964,AeG,955
874,AeG,1016
50651,AeG,2037
51588,AeG,955
79882,AeG,955
9716,AeG,1017
3975,AeG,1017
91156,AeG,955
8412,AeG,1016
255928,AeG,1895
57707,AeG,955
203074,AeG,1016
161142,AeG,1017
81876,AeG,2037
29978,AeG,1890
51773,AeG,2240
118738,AeG,955
5564,AeG,955
56647,AeG,1016
150160,AeG,1017
10272,AeG,2037
25798,AeG,2037
84128,AeG,1896
54704,AeG,1017
114825,AeG,1891
3005,AeG,1017
5300,AeG,1893
6507,AeG,1891
11332,AeG,1891
27285,AeG,2037
3329,AeG,1890
55037,AeG,1016
25828,AeG,1891
55209,AeG,2240
9710,AeG,955
6197,AeG,1890
9849,AeG,955
6520,AeG,955
6310,AeG,1021
51611,AeG,2298
115286,AeG,2037
84932,AeG,1016
4351,AeG,1017
25766,AeG,1017
23008,AeG,955
9478,AeG,2298
6327,AeG,2240
2091,AeG,2037
1455,AeG,1893
51650,AeG,955
5436,AeG,1016
55768,AeG,45
51433,AeG,1016
183,AeG,1890
23051,AeG,1893
84928,AeG,1891
358,AeG,1017
9343,AeG,2037
6143,AeG,2028
2287,AeG,2037
60677,AeG,1893
6170,AeG,2240
343450,AeG,1016
51164,AeG,1891
54952,AeG,1017
93650,AeG,955
84246,AeG,1017
25943,AeG,1896
80148,AeG,955
26040,AeG,2037
8624,AeG,2037
55343,AeG,955
115290,AeG,1896
7770,AeG,955
2671,AeG,1891
100505591,AeG,955
7789,AeG,1017
23399,AeG,1017
9232,AeG,2037
9365,AeG,1016
1601,AeG,1016
4129,AeG,1890
5725,AeG,1891
135295,AeG,2037
378,AeG,2298
339488,AeG,2240
10980,AeG,2037
353274,AeG,1896
51582,AeG,1890
8531,AeG,955
9645,AeG,2028
29945,AeG,955
1111,AeG,955
10868,AeG,1016
654483,AeG,2037
2040,AeG,1891
90249,AeG,2037
8193,AeG,2240
7403,AeG,1891
7368,AeG,1896
6169,AeG,1896
112476,AeG,1017
4267,AeG,1016
55178,AeG,1891
22936,AeG,2037
1284,AeG,1893
84146,AeG,2037
29904,AeG,1016
9369,AeG,1896
9751,AeG,2240
6014,AeG,1891
3652,AeG,1891
10137,AeG,2037
6629,AeG,1891
55015,AeG,1896
6472,AeG,1017
3730,AeG,1890
9689,AeG,1896
25975,AeG,955
23081,AeG,2240
79443,AeG,955
146429,AeG,2037
6224,AeG,2298
79188,AeG,2037
134864,AeG,1017
25873,AeG,1891
54107,AeG,1017
6133,AeG,1896
4763,AeG,2028
134353,AeG,2037
9651,AeG,2037
254122,AeG,1016
9552,AeG,2240
83636,AeG,1016
84930,AeG,2037
2730,AeG,955
7158,AeG,2037
858,AeG,1016
9805,AeG,1890
51604,AeG,2037
203286,AeG,1017
54205,AeG,1895
2764,AeG,45
22838,AeG,1017
79798,AeG,1891
25777,AeG,1890
6603,AeG,2037
55286,AeG,2240
10089,AeG,955
10200,AeG,2037
1780,AeG,1893
5796,AeG,1893
283848,AeG,1016
6515,AeG,1896
1917,AeG,955
1813,AeG,1891
4842,AeG,1896
54842,AeG,1016
11021,AeG,2037
529,AeG,955
83892,AeG,1017
58480,AeG,1016
3797,AeG,1893
79987,AeG,2037
64834,AeG,2240
55746,AeG,1017
3769,AeG,955
4137,AeG,1893
754,AeG,1893
55101,AeG,2240
90990,AeG,955
2037,AeG,2037
1610,AeG,2240
5062,AeG,1017
51426,AeG,2240
