gene,relationship,MF
57282,GpMF,GO:0015297
9013,GpMF,GO:0044212
10847,GpMF,GO:0003713
2625,GpMF,GO:0003682
51058,GpMF,GO:0000976
9550,GpMF,GO:0022891
5648,GpMF,GO:0017171
22808,GpMF,GO:0003924
102800317,GpMF,GO:0004674
1655,GpMF,GO:0016462
1193,GpMF,GO:0015075
645836,GpMF,GO:0036459
91574,GpMF,GO:0003747
4983,GpMF,GO:0005543
3750,GpMF,GO:0005250
51065,GpMF,GO:0045182
7021,GpMF,GO:0001228
2762,GpMF,GO:0016835
1463,GpMF,GO:0005540
5443,GpMF,GO:0031782
25769,GpMF,GO:0031402
5649,GpMF,GO:0008236
2353,GpMF,GO:1990837
9688,GpMF,GO:0005198
7545,GpMF,GO:0001012
4775,GpMF,GO:0000981
4277,GpMF,GO:0046703
6718,GpMF,GO:0008289
11345,GpMF,GO:0050811
23173,GpMF,GO:0070011
92291,GpMF,GO:0004198
5580,GpMF,GO:0004715
11112,GpMF,GO:0016614
6708,GpMF,GO:0032403
6772,GpMF,GO:0000979
2159,GpMF,GO:0004175
10600,GpMF,GO:0003713
9242,GpMF,GO:0000989
81488,GpMF,GO:0016772
4488,GpMF,GO:0001067
4801,GpMF,GO:0000975
8994,GpMF,GO:0003714
5803,GpMF,GO:0016788
9968,GpMF,GO:0003690
9424,GpMF,GO:0022840
9429,GpMF,GO:0015238
5685,GpMF,GO:0008233
538,GpMF,GO:0015075
1071,GpMF,GO:0005496
5007,GpMF,GO:0008289
4281,GpMF,GO:0031625
56919,GpMF,GO:0003724
3761,GpMF,GO:0015075
1051,GpMF,GO:0003705
4825,GpMF,GO:0000978
64420,GpMF,GO:0005509
7109,GpMF,GO:0015077
3615,GpMF,GO:0016616
6035,GpMF,GO:0004522
4134,GpMF,GO:0005198
5784,GpMF,GO:0004721
59284,GpMF,GO:0005244
122402,GpMF,GO:0003724
4908,GpMF,GO:0048406
7391,GpMF,GO:0019900
5205,GpMF,GO:0008289
10404,GpMF,GO:0008238
3105,GpMF,GO:0033218
23530,GpMF,GO:0022890
56255,GpMF,GO:0016853
1565,GpMF,GO:0005506
149428,GpMF,GO:0016462
54495,GpMF,GO:0016853
108,GpMF,GO:0009975
1917,GpMF,GO:0019900
5734,GpMF,GO:0004955
8013,GpMF,GO:0001047
8363,GpMF,GO:0032451
374291,GpMF,GO:0008137
343173,GpMF,GO:0004930
116729,GpMF,GO:0019888
3776,GpMF,GO:0005249
3779,GpMF,GO:0022839
29088,GpMF,GO:0003735
55635,GpMF,GO:0008047
2157,GpMF,GO:0016491
8402,GpMF,GO:0022804
129293,GpMF,GO:0008237
4988,GpMF,GO:0022832
89780,GpMF,GO:0019904
80152,GpMF,GO:0046982
5626,GpMF,GO:0000975
55276,GpMF,GO:0016866
7849,GpMF,GO:0016500
109,GpMF,GO:0005516
7442,GpMF,GO:0005230
5745,GpMF,GO:0004930
259296,GpMF,GO:0004930
5456,GpMF,GO:0044212
197259,GpMF,GO:0019901
4704,GpMF,GO:0048037
51479,GpMF,GO:0017016
25800,GpMF,GO:0046915
312,GpMF,GO:0031406
23769,GpMF,GO:0019887
4308,GpMF,GO:0015075
64135,GpMF,GO:0043021
3743,GpMF,GO:0005251
7287,GpMF,GO:0005546
5991,GpMF,GO:0000976
170572,GpMF,GO:0005216
9353,GpMF,GO:0043394
55032,GpMF,GO:0015291
56886,GpMF,GO:0008194
2735,GpMF,GO:0000975
4968,GpMF,GO:0016788
6586,GpMF,GO:0048495
2556,GpMF,GO:0008503
10020,GpMF,GO:0016773
60,GpMF,GO:0000976
55040,GpMF,GO:0019904
1482,GpMF,GO:0003712
53822,GpMF,GO:0022891
114112,GpMF,GO:0050660
2294,GpMF,GO:0000976
528,GpMF,GO:0016818
597,GpMF,GO:0015267
5883,GpMF,GO:0016796
4929,GpMF,GO:0003707
83959,GpMF,GO:0022803
54716,GpMF,GO:0022891
283455,GpMF,GO:0004672
473,GpMF,GO:0001105
4285,GpMF,GO:0004175
3172,GpMF,GO:0003707
5794,GpMF,GO:0004725
131096,GpMF,GO:0015267
4988,GpMF,GO:0022857
79815,GpMF,GO:0046873
11116,GpMF,GO:0019901
80833,GpMF,GO:0005319
84251,GpMF,GO:0032403
124975,GpMF,GO:0016746
10657,GpMF,GO:0030674
79723,GpMF,GO:0016278
5459,GpMF,GO:0000982
79587,GpMF,GO:0004817
112858,GpMF,GO:0016772
2017,GpMF,GO:0005522
9533,GpMF,GO:0016779
10954,GpMF,GO:0016860
3298,GpMF,GO:0000976
80228,GpMF,GO:0022857
64127,GpMF,GO:0003779
10612,GpMF,GO:0004842
114757,GpMF,GO:0005344
1185,GpMF,GO:0005247
79676,GpMF,GO:0005506
5021,GpMF,GO:0042562
131540,GpMF,GO:0016409
8091,GpMF,GO:0001047
10155,GpMF,GO:0001191
8972,GpMF,GO:0016798
1519,GpMF,GO:0070011
25788,GpMF,GO:0042623
207,GpMF,GO:0016301
3359,GpMF,GO:0022890
468,GpMF,GO:0001047
55770,GpMF,GO:0051020
775,GpMF,GO:0008331
8976,GpMF,GO:0030695
340156,GpMF,GO:0016773
51714,GpMF,GO:0008430
8531,GpMF,GO:0000981
387700,GpMF,GO:0008509
79890,GpMF,GO:0005096
6580,GpMF,GO:0008513
10816,GpMF,GO:0030234
57088,GpMF,GO:0005548
27033,GpMF,GO:0003714
6775,GpMF,GO:0000975
3074,GpMF,GO:0046982
23411,GpMF,GO:0046969
8790,GpMF,GO:0016772
55117,GpMF,GO:0008324
4438,GpMF,GO:0030983
699,GpMF,GO:0004672
3417,GpMF,GO:0016614
54575,GpMF,GO:0016757
4878,GpMF,GO:0005179
284131,GpMF,GO:0004519
4881,GpMF,GO:0004672
2064,GpMF,GO:0046982
7075,GpMF,GO:0016301
406,GpMF,GO:0008134
10658,GpMF,GO:0003729
8939,GpMF,GO:0001012
57835,GpMF,GO:0008509
79861,GpMF,GO:0005198
140838,GpMF,GO:0042578
6453,GpMF,GO:0008047
5351,GpMF,GO:0019842
7043,GpMF,GO:0019838
581,GpMF,GO:0022803
1327,GpMF,GO:0022891
6309,GpMF,GO:0000248
833,GpMF,GO:0004812
