gene_from,relationship,gene_to
598,INHIBITION,5599
5523,INHIBITION,27091
2791,INHIBITION,115
5567,INHIBITION,7932
5568,INHIBITION,5595
375,INHIBITION,2069
5781,INHIBITION,3665
23412,INHIBITION,54951
23401,INHIBITION,5529
5595,INHIBITION,5573
9655,INHIBITION,3561
5932,INHIBITION,1876
990,INHIBITION,8900
5573,INHIBITION,5595
51,INHIBITION,5970
26224,INHIBITION,285231
390144,INHIBITION,409
392390,INHIBITION,156
4851,INHIBITION,2353
22905,INHIBITION,50618
5568,INHIBITION,340156
1499,INHIBITION,23401
390075,INHIBITION,409
23586,INHIBITION,9246
1432,INHIBITION,23118
54845,INHIBITION,4686
6366,INHIBITION,63940
7410,INHIBITION,391
5566,INHIBITION,4724
4088,INHIBITION,7043
79501,INHIBITION,5568
6500,INHIBITION,23291
23142,INHIBITION,7321
84539,INHIBITION,29899
5593,INHIBITION,5332
4855,INHIBITION,8650
7157,INHIBITION,7337
51725,INHIBITION,4008
5037,INHIBITION,1147
2309,INHIBITION,5567
108,INHIBITION,2782
123879,INHIBITION,25793
5261,INHIBITION,5501
150684,INHIBITION,84085
5747,INHIBITION,831
146330,INHIBITION,222235
4153,INHIBITION,710
83729,INHIBITION,10468
5566,INHIBITION,390174
388372,INHIBITION,29899
1495,INHIBITION,1950
10788,INHIBITION,998
139341,INHIBITION,283106
51176,INHIBITION,864
991,INHIBITION,701
146330,INHIBITION,84085
157,INHIBITION,219870
7189,INHIBITION,11213
156,INHIBITION,26188
2534,INHIBITION,409
2962,INHIBITION,5441
408,INHIBITION,346528
55799,INHIBITION,55844
3460,INHIBITION,5777
8844,INHIBITION,11044
55844,INHIBITION,596
54951,INHIBITION,26234
891,INHIBITION,25847
162998,INHIBITION,5568
6788,INHIBITION,5520
57610,INHIBITION,10048
5594,INHIBITION,5588
727,INHIBITION,735
5567,INHIBITION,390066
84961,INHIBITION,201456
6608,INHIBITION,5568
126006,INHIBITION,259285
54165,INHIBITION,10517
219983,INHIBITION,157
5529,INHIBITION,208
1408,INHIBITION,26224
5522,INHIBITION,596
3065,INHIBITION,3276
150,INHIBITION,26086
5970,INHIBITION,7124
146330,INHIBITION,54951
285231,INHIBITION,126433
55012,INHIBITION,783
6256,INHIBITION,6198
26086,INHIBITION,259294
51397,INHIBITION,7323
285231,INHIBITION,8945
84261,INHIBITION,79791
4697,INHIBITION,5568
408,INHIBITION,390326
7314,INHIBITION,26043
26086,INHIBITION,3577
27121,INHIBITION,4040
120066,INHIBITION,156
3303,INHIBITION,3337
5255,INHIBITION,79660
51529,INHIBITION,8900
124538,INHIBITION,409
4049,INHIBITION,7187
5566,INHIBITION,26245
63940,INHIBITION,5368
10772,INHIBITION,3190
408,INHIBITION,390445
7297,INHIBITION,8835
84261,INHIBITION,115290
8881,INHIBITION,1026
4043,INHIBITION,7436
9611,INHIBITION,406
7314,INHIBITION,5796
409,INHIBITION,390260
5566,INHIBITION,119682
93611,INHIBITION,201456
7048,INHIBITION,7043
63940,INHIBITION,1233
1027,INHIBITION,207
120775,INHIBITION,5566
51725,INHIBITION,80028
8394,INHIBITION,2934
64321,INHIBITION,83439
123016,INHIBITION,583
3065,INHIBITION,11317
55294,INHIBITION,23291
255725,INHIBITION,5568
341568,INHIBITION,5566
